Titulo;Categoria;Descripcion;Imagen;Email;Telefono
"Express";"Santiago del Estero";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Santiago/Express.png";"";""
"Hiper Cell";"Santiago del Estero";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Santiago/HiperCell.png";"";""
"Ingenio";"Santiago del Estero";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Santiago/Ingenio.png";"";""
"La Mascotera Sgo";"Santiago del Estero";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Santiago/LaMascoteraSgo.png";"";""
"Los Cardones";"Santiago del Estero";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Santiago/LosCardones.png";"";""
"Montenegro";"Santiago del Estero";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Santiago/Montenegro.png";"";""
"Tarjeta Vitta";"Santiago del Estero";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Santiago/TarjetaVitta.png";"";""
"Tuluka Fitness";"Santiago del Estero";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Santiago/TulukaFitness.png";"";""
"Asispre";"General";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/G5H9sqD/asispre.webp";"";""
"Hotel Embajador";"General";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/ZXq87sx/hotel-embajador.webp";"";""
"Farmacia Inca";"General";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/5rwt1Lw/Farmacia-inca.webp";"";""
"El Malik";"General";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/fxVLzsW/el-malik.webp";"";""
"San Pablo  T";"Tucumán";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/WkNswmK/logo-san-pablo-T.webp";"";""
"Siglo 21";"Tucumán";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/Gvr6jcc/siglo-21-logo.webp";"";""
"Unsta";"Tucumán";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/4J6fNxg/unsta-logo.webp";"";""
"Auto Spa";"Catamarca";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Catamarca/AutoSpa.png";"";""
"Cortassa";"Catamarca";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Catamarca/Cortassa.png";"";""
"Desde El Alma";"Catamarca";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Catamarca/DesdeElAlma.png";"";""
"Giro Didac";"Catamarca";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Catamarca/GiroDidac.png";"";""
"La Bagual";"Catamarca";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Catamarca/LaBagual.png";"";""
"La Vinoteca";"Catamarca";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Catamarca/LaVinoteca.png";"";""
"Man Indumentaria";"Catamarca";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Catamarca/ManIndumentaria.png";"";""
"Noa Cat";"Catamarca";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Catamarca/NoaCat.png";"";""
